subject_id_temporary	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_date	author_id	subject_source	subject_source_version	object_source	object_source_version	mapping_cardinality	confidence	comment
mbmvpax54	auditory cortex caudolateral area	skos:broadMatch	UBERON:0034752	secondary auditory cortex	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	 http://purl.obolibrary.org/obo/UBERON_0034752	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	" The core is surrounded by eight areas that belong to the belt region (light shading) (CM, caudomedial; CL, caudolateral; MM, middle medial; ML, middle lateral; RM, rostromedial; AL, anterolateral; RTM, rostrotemporal medial; RTL, rostrotemporal lateral)" https://www.sciencedirect.com/topics/psychology/auditory-cortex
mbmvpax55	auditory cortex caudomedial area	skos:broadMatch	UBERON:0034752	secondary auditory cortex	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	 http://purl.obolibrary.org/obo/UBERON_0034752	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	" The core is surrounded by eight areas that belong to the belt region (light shading) (CM, caudomedial; CL, caudolateral; MM, middle medial; ML, middle lateral; RM, rostromedial; AL, anterolateral; RTM, rostrotemporal medial; RTL, rostrotemporal lateral)" https://www.sciencedirect.com/topics/psychology/auditory-cortex
mbmvpax56	auditory cortex caudal parabelt area	skos:broadMatch	UBERON:0001393	auditory cortex	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0001393	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	0.9	broadly mapped tertiary auditory cortex to auditory cortex. Not sure if any of the entities within the parcellated auditory cortex entry are more accurate mappings
mbmvpax57	auditory cortex middle lateral area	skos:broadMatch	UBERON:0034752	secondary auditory cortex	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	 http://purl.obolibrary.org/obo/UBERON_0034752	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	" The core is surrounded by eight areas that belong to the belt region (light shading) (CM, caudomedial; CL, caudolateral; MM, middle medial; ML, middle lateral; RM, rostromedial; AL, anterolateral; RTM, rostrotemporal medial; RTL, rostrotemporal lateral)" https://www.sciencedirect.com/topics/psychology/auditory-cortex
mbmvpax58	auditory cortex rostral area	skos:broadMatch	UBERON:0034751	primary auditory cortex	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0034751	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	0.9	though the rostral area is included in the core, UBERON does not have a parcellation corresponding to it
mbmvpax59	auditory cortex rostromedial area	skos:broadMatch	UBERON:0034752	secondary auditory cortex	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	 http://purl.obolibrary.org/obo/UBERON_0034752	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	" The core is surrounded by eight areas that belong to the belt region (light shading) (CM, caudomedial; CL, caudolateral; MM, middle medial; ML, middle lateral; RM, rostromedial; AL, anterolateral; RTM, rostrotemporal medial; RTL, rostrotemporal lateral)" https://www.sciencedirect.com/topics/psychology/auditory-cortex
mbmvpax60	auditory cortex rostral parabelt	skos:broadMatch	UBERON:0001393	auditory cortex	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0001393	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	0.9	broadly mapped tertiary auditory cortex to auditory cortex. Not sure if any of the entities within the parcellated auditory cortex entry are more accurate mappings
mbmvpax61	auditory cortex rostrotemporal	skos:broadMatch	UBERON:0034752	secondary auditory cortex	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	 http://purl.obolibrary.org/obo/UBERON_0034752	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	" The core is surrounded by eight areas that belong to the belt region (light shading) (CM, caudomedial; CL, caudolateral; MM, middle medial; ML, middle lateral; RM, rostromedial; AL, anterolateral; RTM, rostrotemporal medial; RTL, rostrotemporal lateral)" https://www.sciencedirect.com/topics/psychology/auditory-cortex
mbmvpax62	auditory cortex rostrotemporal lateral area	skos:broadMatch	UBERON:0034752	secondary auditory cortex	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	 http://purl.obolibrary.org/obo/UBERON_0034752	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	" The core is surrounded by eight areas that belong to the belt region (light shading) (CM, caudomedial; CL, caudolateral; MM, middle medial; ML, middle lateral; RM, rostromedial; AL, anterolateral; RTM, rostrotemporal medial; RTL, rostrotemporal lateral)" https://www.sciencedirect.com/topics/psychology/auditory-cortex
mbmvpax63	auditory cortex rostrotemporal medial area	skos:broadMatch	UBERON:0034752	secondary auditory cortex	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	 http://purl.obolibrary.org/obo/UBERON_0034752	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	" The core is surrounded by eight areas that belong to the belt region (light shading) (CM, caudomedial; CL, caudolateral; MM, middle medial; ML, middle lateral; RM, rostromedial; AL, anterolateral; RTM, rostrotemporal medial; RTL, rostrotemporal lateral)" https://www.sciencedirect.com/topics/psychology/auditory-cortex
mbmvpax64	dysgranular insular cortex	skos:broadMatch	UBERON:0034891	insular cortex	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0034891	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	0.9	No UBERON entry matches exactly with dysgranular insular cortex. Mapped broadly to UBERON:0034891 (insular cortex) although the entry only captures agranular and granular insular cortices 
mbmvpax65	entorhinal cortex	skos:exactMatch	UBERON:0002728	entorhinal cortex	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0002728	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	
mbmvpax66	fundus of superior temporal sulcus area of cortex	skos:broadMatch	UBERON:0002734	superior temporal sulcus	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0002734	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:2	1	UBERON parcelates only to agranular sulcus and banks of superior temporal sulcus which do not adequately capture the fundus entity
mbmvpax66	fundus of superior temporal sulcus area of cortex	skos:broadMatch	UBERON:0002734	superior temporal sulcus	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0002734	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:2	1	UBERON parcelates only to agranular sulcus and banks of superior temporal sulcus which do not adequately capture the fundus entity
mbmvpax67	granular insular cortex	skos:exactMatch	UBERON:0034892	granular insular cortex	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0034892	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:1	1	
mbmvpax68	gustatory cortex	skos:broadMatch	UBERON:0002947	frontal operculum	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0002947	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:2	0.8	"because of its composition, the primary gustatory cortex is sometimes referred to in literature as the AI/FO (anterior insula/ frontal operculum)". Chose to map it to both UBERON:0002947 (frontal operculum) and UBERON:0034891 (insular cortex)  https://psycnet.apa.org/doiLanding?doi=10.1037%2F0735-7044.113.4.663
mbmvpax68	gustatory cortex	skos:broadMatch	UBERON:0034891	insular cortex	HumanCuration	7/7/2022	orcid:0000-0002-6136-4102	Paxinos, George & Watson, Charles & Rosa, Marcello & Petrides, Michael & Tokuno, Hironobu. (2012). PDF of The Marmoset Brain in Stereotaxic Coordinates. 	July 2022	http://purl.obolibrary.org/obo/UBERON_0034891	http://purl.obolibrary.org/obo/uberon/releases/2022-06-20/uberon.owl	1:2	0.8	"because of its composition, the primary gustatory cortex is sometimes referred to in literature as the AI/FO (anterior insula/ frontal operculum)". Chose to map it to both UBERON:0002947 (frontal operculum) and UBERON:0034891 (insular cortex)  https://psycnet.apa.org/doiLanding?doi=10.1037%2F0735-7044.113.4.663
